,Name,SMILES,MW,LogP,QED,pred_pIC50,pred_IC50_uM,CI_lo,CI_hi,Tanimoto,Rationale
1,V-2F4Cl,CC1=C(C(=O)O)c2cc(OCc3ccc(Cl)cc3F)ccc2O1,334.73,4.810920000000003,0.743375496548537,6.066744729697793,0.8575417443767255,5.368556123076761,6.764933336318824,0.803921568627451,F ortho + Cl para; bioisostere of 1d
2,V-234F,CC1=C(C(=O)O)c2cc(OCc3c(F)c(F)c(F)cc3)ccc2O1,336.265,4.4357200000000025,0.7158962566673613,5.816311301020554,1.5264714956702168,5.118122694399522,6.514499907641586,0.6981132075471698,3x fluorine; high lipophilicity
3,V-2F5F,CC1=C(C(=O)O)c2cc(OCc3ccc(F)cc3F)ccc2O1,318.27500000000003,4.2966200000000025,0.7790608577176663,5.815907721412912,1.5278906688886524,5.11771911479188,6.5140963280339435,0.6862745098039216,"2,5-diF; low MW"
4,V-26F2,CC1=C(C(=O)O)c2cc(OCc3c(F)cccc3F)ccc2O1,318.27500000000003,4.2966200000000025,0.7790608577176663,5.815907721412912,1.5278906688886524,5.11771911479188,6.5140963280339435,0.8571428571428571,"2,6-diF; steric compression"
5,V-2F4F,CC1=C(C(=O)O)c2cc(OCc3ccc(F)cc3F)ccc2O1,318.27500000000003,4.2966200000000025,0.7790608577176663,5.815907721412912,1.5278906688886524,5.11771911479188,6.5140963280339435,0.6862745098039216,"2,4-diF; F bioisostere of 1c"
6,V-2Cl5Cl,CC1=C(C(=O)O)c2cc(OCc3cc(Cl)ccc3Cl)ccc2O1,351.185,5.3252200000000025,0.6906030974980852,5.7573341654098895,1.7485007969399984,5.059145558788858,6.455522772030921,0.8367346938775511,"2,5-diCl; differs from 1c 2,4-diCl"
7,V-2Me4Cl,CC1=C(C(=O)O)c2cc(OCc3ccc(Cl)cc3C)ccc2O1,330.76700000000005,4.980240000000004,0.7324905658944871,5.7562739377880625,1.752774564119264,5.058085331167031,6.454462544409094,0.8541666666666666,Me ortho + Cl para
8,V-2CF3,CC1=C(C(=O)O)c2cc(OCc3ccccc3C(F)(F)F)ccc2O1,350.29200000000003,5.037220000000003,0.7162761392540611,5.7511892345453575,1.7734165841137035,5.053000627924326,6.449377841166389,0.76,ortho-CF3; bulky EWG
9,V-2OMe,CC1=C(C(=O)O)c2cc(OCc3ccccc3OC)ccc2O1,312.321,4.027020000000002,0.7700977980599435,5.678837144513133,2.0948978714349895,4.980648537892101,6.377025751134164,0.7916666666666666,OMe ortho; electron-donating
10,V-2Cl4CF3,CC1=C(C(=O)O)c2cc(OCc3ccc(C(F)(F)F)cc3Cl)ccc2O1,384.737,5.690620000000004,0.6273211183726979,5.6686690159252855,2.1445243612352316,4.970480409304254,6.366857622546317,0.7592592592592593,Cl ortho + CF3 para; strong EWG
11,V-2F,CC1=C(C(=O)O)c2cc(OCc3ccccc3F)ccc2O1,300.285,4.1575200000000025,0.7857197362986517,5.665697492591677,2.159247907538078,4.967508885970646,6.363886099212709,0.8085106382978723,ortho-F only; smaller than 1d
12,V-2NO2,CC1=C(C(=O)O)c2cc(OCc3ccccc3[N+](=O)[O-])ccc2O1,327.2920000000001,3.9266200000000024,0.5623968035683479,5.628957119019407,2.349864828248492,4.930768512398376,6.327145725640439,0.7450980392156863,"nitro; strong EWG, metabolic risk"
13,V-2Br,CC1=C(C(=O)O)c2cc(OCc3ccccc3Br)ccc2O1,361.19100000000003,4.780920000000003,0.7265554942857155,5.318220872877259,4.805948660241886,4.620032266256227,6.01640947949829,0.8085106382978723,ortho-Br; halogen bonding
